Genotype 1,Genotype 2,pval
80133_80133,80134_80134,1.8752245780223706e-4
80133_80133,Zim53;765_DGRP-765,3.7781994943489265e-29
80133_80133,Zim53;765_Zim53;765,4.43160122957399e-19
80133_80133,DGRP-765_DGRP-765,2.4712330908521553e-14
80133_80133,Zim53;315_80134,3.5446297526333815e-126
80133_80133,Zim53;315_DGRP-765,2.1956726554669733e-172
80133_80133,Zim53;765_80133,0.10905601983794708
80133_80133,Zim53;765_80134,1.6797000484324242e-15
80133_80133,Zim53;315_Zim53;315,1.4891675814867356e-103
80133_80133,Zim53;315_80133,4.13456563849912e-146
80133_80133,Zim53;315_Zim53;765,2.9744469397476723e-135
80134_80134,Zim53;765_DGRP-765,3.038696330924248e-47
80134_80134,Zim53;765_Zim53;765,1.2602652440691746e-36
80134_80134,DGRP-765_DGRP-765,1.9096916487387434e-31
80134_80134,Zim53;315_80134,2.8104290588178213e-101
80134_80134,Zim53;315_DGRP-765,9.608996074190901e-143
80134_80134,Zim53;765_80133,1
80134_80134,Zim53;765_80134,6.254307725869943e-4
80134_80134,Zim53;315_Zim53;315,4.765195639959323e-74
80134_80134,Zim53;315_80133,4.529459063118374e-129
80134_80134,Zim53;315_Zim53;765,8.868281676560093e-121
Zim53;765_DGRP-765,Zim53;765_Zim53;765,0.007127182722057689
Zim53;765_DGRP-765,DGRP-765_DGRP-765,9.916473408320536e-5
Zim53;765_DGRP-765,Zim53;315_80134,2.024537222668645e-169
Zim53;765_DGRP-765,Zim53;315_DGRP-765,4.3915420888664663e-218
Zim53;765_DGRP-765,Zim53;765_80133,3.7981997806325274e-50
Zim53;765_DGRP-765,Zim53;765_80134,6.122440047126953e-49
Zim53;765_DGRP-765,Zim53;315_Zim53;315,5.298982778588859e-153
Zim53;765_DGRP-765,Zim53;315_80133,7.133574351937366e-184
Zim53;765_DGRP-765,Zim53;315_Zim53;765,7.513924687296756e-170
Zim53;765_Zim53;765,DGRP-765_DGRP-765,1
Zim53;765_Zim53;765,Zim53;315_80134,2.862282360377454e-163
Zim53;765_Zim53;765,Zim53;315_DGRP-765,1.560522584999033e-213
Zim53;765_Zim53;765,Zim53;765_80133,4.200406682165976e-34
Zim53;765_Zim53;765,Zim53;765_80134,7.188520290444134e-44
Zim53;765_Zim53;765,Zim53;315_Zim53;315,1.904713015926446e-147
Zim53;765_Zim53;765,Zim53;315_80133,4.025703211927937e-177
Zim53;765_Zim53;765,Zim53;315_Zim53;765,2.7290188041335427e-162
DGRP-765_DGRP-765,Zim53;315_80134,2.0515981933447614e-163
DGRP-765_DGRP-765,Zim53;315_DGRP-765,1.671851445805278e-214
DGRP-765_DGRP-765,Zim53;765_80133,1.6297331417580152e-28
DGRP-765_DGRP-765,Zim53;765_80134,5.680252014479365e-41
DGRP-765_DGRP-765,Zim53;315_Zim53;315,2.581809648553837e-147
DGRP-765_DGRP-765,Zim53;315_80133,9.86400350803986e-178
DGRP-765_DGRP-765,Zim53;315_Zim53;765,8.433472650232233e-163
Zim53;315_80134,Zim53;315_DGRP-765,1
Zim53;315_80134,Zim53;765_80133,5.750475396253132e-117
Zim53;315_80134,Zim53;765_80134,3.065927385010518e-62
Zim53;315_80134,Zim53;315_Zim53;315,6.357964670965177e-16
Zim53;315_80134,Zim53;315_80133,0.0015527664765023937
Zim53;315_80134,Zim53;315_Zim53;765,1.0341078157202271e-5
Zim53;315_DGRP-765,Zim53;765_80133,3.0928967331481e-162
Zim53;315_DGRP-765,Zim53;765_80134,1.1925687258656896e-90
Zim53;315_DGRP-765,Zim53;315_Zim53;315,1.0677080107595348e-23
Zim53;315_DGRP-765,Zim53;315_80133,8.821348353037275e-7
Zim53;315_DGRP-765,Zim53;315_Zim53;765,3.8067504669859525e-9
Zim53;765_80133,Zim53;765_80134,4.638899402459585e-6
Zim53;765_80133,Zim53;315_Zim53;315,1.890493627255973e-85
Zim53;765_80133,Zim53;315_80133,8.33753675751789e-147
Zim53;765_80133,Zim53;315_Zim53;765,1.5530834635409711e-136
Zim53;765_80134,Zim53;315_Zim53;315,3.506360949924862e-39
Zim53;765_80134,Zim53;315_80133,2.2249720479987686e-87
Zim53;765_80134,Zim53;315_Zim53;765,1.4412996072762331e-81
Zim53;315_Zim53;315,Zim53;315_80133,9.080317225431321e-45
Zim53;315_Zim53;315,Zim53;315_Zim53;765,9.449810357638238e-44
Zim53;315_80133,Zim53;315_Zim53;765,1
