Female Parent,Male Parent,Events,Mean,SEM,Median
80133,80133,255,37.05098039215686,0.6954162799784631,40
80134,80134,274,41.81021897810219,0.7812446931940712,40
DGRP-765,DGRP-765,349,28.515759312320917,0.5932489057719833,24
Zim53;315,80133,389,80.82262210796915,0.8494063461358536,88
Zim53;315,80134,365,74.32328767123288,0.9124803529290234,72
Zim53;315,DGRP-765,495,75.31313131313131,0.6710673993951918,72
Zim53;315,Zim53;315,329,65.43465045592706,0.6333492129547607,64
Zim53;315,Zim53;765,351,81.66381766381767,0.9550422339655819,80
Zim53;765,80133,406,39.90147783251232,0.6754162523505876,40
Zim53;765,80134,143,48.78321678321678,0.9100661718792052,48
Zim53;765,DGRP-765,347,24.046109510086456,0.5795822688571474,24
Zim53;765,Zim53;765,335,27.486567164179107,0.5851331797706505,24
