Deficiency,Marker,Events,Mean,SEM,Median
Df(3L)BSC113,Hemizygous,349,84.44699140401147,1.2722136262372654,90
Df(3L)BSC113,Heterozygous,345,99.87826086956521,1.2905775112693445,102
Df(3L)BSC118,Hemizygous,353,96.1699716713881,1.396637346451312,102
Df(3L)BSC118,Heterozygous,331,106.13293051359516,1.2279476580507385,114
Df(3L)BSC282,Hemizygous,322,37.49068322981366,0.4265917917458531,36
Df(3L)BSC282,Heterozygous,217,59.12903225806452,0.8384360101547247,60
Df(3L)BSC283,Hemizygous,239,73.72384937238493,1.5406797149225966,75
Df(3L)BSC283,Heterozygous,227,81.65638766519824,1.480446261275664,75
Df(3L)BSC392,Hemizygous,356,23.258426966292134,0.6227359239062297,24
Df(3L)BSC392,Heterozygous,315,77.7015873015873,1.2956113265800828,74
Df(3L)BSC393,Hemizygous,269,72.10408921933086,1.290048985808668,75
Df(3L)BSC393,Heterozygous,203,109.52709359605912,1.6008154588677725,125
Df(3L)BSC394,Hemizygous,405,39.91111111111111,0.7761762857633012,36
Df(3L)BSC394,Heterozygous,314,93.71019108280255,1.2763615558833323,99
Df(3L)BSC576,Hemizygous,328,51.350609756097555,0.7552407116127954,48
Df(3L)BSC576,Heterozygous,161,71.04347826086956,1.2438296556160258,73
Df(3L)BSC673,Hemizygous,722,32.80886426592798,0.44750266689996215,36
Df(3L)BSC673,Heterozygous,684,95.05847953216374,0.9407683567684096,102
Df(3L)BSC730,Hemizygous,389,92.73521850899743,1.0286430183300632,102
Df(3L)BSC730,Heterozygous,327,87.32721712538226,1.2593894016204652,88
Df(3L)BSC816,Hemizygous,307,79.46905537459284,1.6930606456724342,72
Df(3L)BSC816,Heterozygous,331,67.16012084592144,1.1736081618463932,60
Df(3L)ED4421,Hemizygous,404,75,0.9683122760021605,72
Df(3L)ED4421,Heterozygous,340,84.82941176470588,1.338445703828317,90
Df(3L)ED4470,Hemizygous,315,63.77142857142857,0.9874574615745111,60
Df(3L)ED4470,Heterozygous,343,81.533527696793,1.3244926017297642,90
Df(3L)ED4475,Hemizygous,345,72.59130434782608,0.7637632973642431,72
Df(3L)ED4475,Heterozygous,391,77.07928388746802,1.3021759717849806,72
Df(3L)ED4486,Hemizygous,295,42.50847457627119,0.5741509231429723,36
Df(3L)ED4486,Heterozygous,292,68.95890410958904,1.373332536286379,60
